,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
197,52,1137,301,866,259,2.59,9.64
198,52,769,206,612,183,2.57,7.2
199,52,472,146,415,126,2.6429,7.13
200,52,862,215,994,213,3.0257,8.08
201,50,1920,530,1525,477,1.4886,12.88
202,43,1420,472,1506,438,1.9338,11.25
203,52,986,258,1008,255,1.4844,11.94
204,44,2340,825,2813,751,1.6009,11.81
205,48,1696,396,1481,343,2.0375,12.25
206,49,1175,217,859,219,2.293,10.63
207,37,2343,574,1608,523,2.1494,13.25
208,30,610,145,425,140,1.6198,12.27
209,40,930,199,564,184,1.3281,11.33
210,44,1487,314,961,272,3.5156,10.95
211,52,3424,690,2273,685,3.9048,16.47
212,52,762,190,600,195,3.0893,12.5
213,46,2366,575,1647,527,2.6042,12.47
214,49,1826,450,1201,424,2.5,13.67
215,38,3049,711,2167,659,2.7969,14.17
216,29,1640,376,939,340,2.8321,15
217,47,1543,307,859,292,2.9583,13.88
218,34,2364,557,1517,516,2.8365,13.92
219,35,1745,409,1143,386,2.875,14.38
220,39,2003,500,1109,464,3.0682,15.65
221,39,2018,447,1221,446,3.0757,15.1
222,43,3045,499,1115,455,4.9559,27.3
223,52,1547,293,706,268,4.7721,21.71
224,52,3519,711,1883,706,3.4861,18.71
225,41,2070,354,804,340,5.1184,23.96
226,48,1321,263,506,252,4.0977,22.97
227,48,1694,259,610,238,4.744,25.73
228,46,1938,341,768,332,4.2727,24.69
229,50,968,195,462,184,2.9844,17.99
230,40,1060,256,667,235,4.1739,16.96
231,46,2041,405,1059,399,3.8487,20.33
232,52,1813,271,637,277,4.0114,26.34
233,45,2718,451,1106,454,4.6563,23.18
234,28,3144,761,1737,669,2.9297,14.05
235,35,1802,459,1009,390,2.3036,12.6
236,49,882,195,737,210,2.6667,12.2
237,44,1621,452,1354,491,2.619,13.47
238,45,2115,533,1530,474,2.4167,13.94
239,45,2021,528,1410,480,2.7788,11.54
240,46,2239,508,1390,569,2.7352,13.73
241,52,1477,300,1065,269,1.8472,13.7
242,52,1056,224,792,245,2.6583,14.26
243,49,898,244,779,245,3.0536,13.75
244,44,2968,710,2269,610,2.3906,11.17
245,43,1702,460,1227,407,1.7188,12.68
246,47,881,248,753,241,2.625,11.13
247,40,494,114,547,135,2.8015,11.48
248,50,1776,473,1807,440,1.7276,10.23
249,44,1678,514,1700,495,2.0801,13.19
250,51,1637,463,1543,393,2.489,11.91
251,52,1420,314,1085,300,1.7546,8.06
252,52,591,173,353,137,4.0904,8.06
253,52,745,153,473,149,2.6765,8.88
254,49,2272,498,1621,483,2.4338,10.24
255,46,1234,375,1183,354,2.3309,9.87
256,43,1017,328,836,277,2.2604,10
257,42,932,254,900,263,1.8039,9.23
258,39,2689,597,1888,537,2.2562,9.48
259,41,1547,415,1024,341,2.0562,10.2
260,52,2300,443,1225,423,3.5398,15.84
261,39,1752,399,1071,376,3.1167,12.16
262,50,1867,403,1128,378,2.5401,12.91
263,43,2430,502,1537,484,2.898,12.14
264,44,1729,414,1240,393,2.3125,10.28
265,52,1026,180,469,168,2.875,16
266,52,2170,428,1086,425,3.3715,14.39
267,52,2329,445,1144,417,3.5114,15.12
268,52,2492,415,1109,375,4.3125,16.44
269,52,2198,397,984,369,3.22,15.65
270,33,142,31,575,47,3.875,22.5
271,49,1183,205,496,209,5.2328,17.42
272,52,1070,193,555,190,3.7262,16.69
273,45,1766,332,869,327,4.5893,16.35
274,39,617,95,236,106,5.2578,25.3
275,41,1411,233,626,214,7.0875,24.07
276,46,2109,387,922,329,3.9712,20.81
277,47,1229,243,582,256,2.9514,19.81
278,50,954,217,546,201,2.6667,17.28
279,37,1643,262,620,266,5.4446,33.67
280,34,1355,195,442,195,6.2838,31.82
281,23,2317,336,955,328,6.7527,28.58
282,24,2459,317,916,324,7.0712,29.3
283,22,12842,2048,4985,1967,5.9849,37.1
284,42,1524,260,651,267,3.6875,15.73
285,30,3326,746,1704,703,2.875,13.53
286,43,1985,440,1085,407,3.4205,13.67
287,50,1642,322,713,284,3.2984,16.07
288,49,893,177,468,181,3.875,14.06
289,52,653,128,296,121,4.175,14.4
290,47,1256,217,570,218,4.375,16.19
291,48,977,194,446,180,4.7708,15.63
292,45,2324,397,968,384,3.5739,17.6
293,39,1583,349,857,316,3.0958,14.58
294,39,1612,342,912,322,3.3958,14.19
295,31,2424,533,1360,452,1.871,9.07
296,41,1594,367,1074,355,1.9356,9.06
297,47,2118,413,965,382,2.1842,10.79
298,37,1575,358,933,320,2.2917,10.7
299,38,1764,397,987,354,2.4333,9.82
300,50,1187,261,907,246,1.9479,8.95
301,52,754,175,447,165,3.9063,9.38
302,49,2308,452,1299,451,1.8407,9.67
303,27,909,236,396,157,2.0786,9.75
304,42,1180,257,877,268,2.8125,9.73
305,43,2018,408,1111,367,1.8913,9.12
306,49,1368,282,790,269,1.7056,9.14
307,52,2744,547,1479,554,2.2768,9.62
308,51,2107,471,1173,438,3.2552,12.01
309,52,1748,362,1029,366,2.0556,10
310,52,2024,391,1030,350,2.4659,9.47
311,47,1116,259,826,279,1.75,8.57
312,41,2036,510,1412,454,2.0469,8.93
313,45,1852,393,1132,349,2.7159,10.14
314,41,921,207,522,159,1.2083,7.25
315,45,995,238,630,237,1.925,7.41
316,36,606,132,531,133,1.5809,7
317,37,2680,736,1925,667,1.4097,8.46
318,38,1493,370,1144,351,0.7683,8.18
319,19,2207,565,1481,520,1.3194,8.14
320,28,856,189,435,162,0.8012,8.18
321,26,1293,297,984,303,1.9479,8.58
322,36,847,212,567,159,1.1765,8.71
323,42,541,154,380,123,2.3456,8.35
324,44,1066,253,825,244,2.1538,7.97
325,43,707,147,417,155,2.5139,8.34
326,45,1528,291,801,287,1.2625,8.47
327,42,909,215,646,198,2.9063,8
328,43,1391,293,855,285,2.5192,7.64
329,44,548,119,435,136,2.1111,7.97
330,42,4074,874,2736,780,2.455,8.24
331,41,1613,445,1481,414,2.4028,9.77
332,47,463,134,327,137,2.15,9.72
333,43,818,193,494,179,2.4776,10.16
334,43,1473,371,1231,341,2.1587,8.65
335,35,504,126,323,109,1.8438,9.05
336,46,1026,226,749,225,3.0298,10.76
337,46,769,183,693,178,2.25,8.42
338,46,2103,391,1339,354,2.2467,8.89
339,45,330,76,282,80,4.0469,8.07
340,46,941,218,621,195,1.325,8.71
341,38,992,279,732,259,1.6196,8.51
342,45,990,261,901,260,2.1731,8.2
343,36,1126,263,482,150,1.9167,8.28
344,43,1036,233,652,213,2.069,8.46
345,36,1047,214,651,166,1.712,8.21
346,33,1280,307,999,286,2.5625,8.93
347,43,1587,320,907,306,1.9821,9.83
348,41,1257,271,828,230,2.5043,9.23
349,44,1218,248,763,254,2.3281,8.88
350,48,1751,390,935,349,1.4375,9
351,45,2299,514,1437,484,2.5122,9.55
352,38,2457,624,1516,482,1.5625,9.17
353,47,998,211,597,185,3.1587,10.04
354,40,1685,343,949,342,1.8426,9.48
355,46,1827,307,881,302,4.6696,16.43
356,36,2781,574,1438,519,2.4598,15.55
357,39,1823,286,763,270,6.0749,19.69
358,27,2229,365,1297,355,4.8304,27.91
359,34,1513,231,545,211,5.5701,25.28
360,26,3266,491,1222,533,5.37,27.54
361,33,1809,261,808,219,6.86,25
362,28,794,111,329,109,7.6923,32.98
363,36,690,105,299,109,4.0313,19.55
364,33,1334,200,579,202,6.8323,25.59
365,30,414,54,137,50,4.975,31.11
366,36,768,93,229,93,5.3602,33
367,41,4400,666,1476,648,5,24.89
368,46,954,161,429,154,2.925,14.29
369,40,1445,256,849,255,3.8913,12.63
370,44,1938,399,946,331,3.225,13.58
371,41,856,178,571,191,3.1458,13.06
372,24,1790,454,1137,386,2.537,10.79
373,44,617,131,378,135,2.5568,11.11
374,43,1383,275,853,272,3.5083,12.2
375,49,1325,277,764,282,3.3125,11.8
376,40,1227,294,928,261,1.8235,9.52
377,35,667,140,406,133,3.8047,9.43
378,34,1223,281,824,280,2.2917,9.25
379,37,1379,287,835,259,2.4962,9.18
380,43,1534,300,826,295,4.0417,10.94
381,46,1029,181,567,211,3.4844,12.95
382,52,771,147,355,144,4.1458,14.34
383,47,824,223,533,166,2.625,9.82
384,44,1097,239,609,215,2.0227,10.31
385,49,1283,238,576,236,3.3333,27.68
386,52,1604,263,594,286,5.338,27.09
387,52,2248,422,870,377,3.4732,24.62
388,38,2263,522,1027,509,3.5125,22.42
389,52,1571,349,693,326,3.1375,22.91
390,46,1520,402,815,375,2.8036,21.16
391,15,5083,1212,2420,1146,4.5824,25.61
392,36,1077,293,518,276,3.0208,20.63
393,52,1248,283,620,275,4.0875,22.13
394,42,1342,291,551,266,4.5268,20.74
395,37,3061,930,2556,924,1.7375,35
396,52,3171,698,1498,696,3.1795,21.82
397,50,1211,261,523,227,3.8672,21.67
398,52,979,175,374,153,5.1675,27.06
399,52,2269,380,1004,371,5.1696,26.14
400,52,1844,332,769,334,4.2614,26.13
401,52,2178,421,940,423,5.0551,23.22
402,42,1650,274,645,256,5.6228,37.54
403,52,1927,279,705,288,7.8864,35.73
404,52,2079,273,684,275,7.9556,37.44
405,52,1803,240,572,236,6.174,35.88
406,52,2041,270,671,253,6.9414,41.75
407,52,3046,373,975,365,8.8342,43.05
408,52,2318,328,779,312,7.1754,36.29
409,52,2003,250,658,244,10.0825,39.7
410,52,2261,328,819,335,4.9083,34.68
411,52,1225,169,412,168,5.7912,32.71
412,52,2315,408,835,369,4.5893,29.01
413,52,2070,329,722,306,5.4171,29.2
414,52,2616,473,1085,487,4.125,27.09
415,52,2640,366,973,355,7.266,37.11
416,52,1978,293,723,272,5.3989,33.56
417,37,2220,335,903,362,7.8336,37.13
418,41,1125,195,356,181,6.1593,34.4
419,52,3078,494,1005,462,6.381,34.22
420,52,3706,531,1205,504,6.6828,37.09
421,37,3000,457,987,450,7.5385,35
422,42,2863,460,1031,448,6.7138,36.86
423,52,2551,417,894,404,6.2425,39.18
424,52,2255,410,823,377,5.7979,41.53
425,52,3360,648,1232,621,4.2813,28.49
426,52,1693,391,669,367,3.5417,28.75
427,44,2252,592,989,550,3.0132,27.29
428,52,2495,491,1058,464,4.1429,25.96
429,52,1193,200,506,207,4.1912,25.45
430,52,1172,215,489,218,3.9167,23.56
431,52,2159,424,824,388,3.8897,21.84
432,48,2365,490,1034,475,3.1065,22.92
433,46,1895,442,920,425,2.9926,19.21
434,52,1650,395,841,380,3.556,17.93
435,45,453,146,749,137,1.475,18.75
436,52,409,97,208,98,1.6971,13.88
437,10,503,118,228,100,2.1705,15
438,50,499,127,287,128,2.75,14.06
439,52,477,119,218,106,2.5682,12
440,46,1647,376,854,355,2.9,14.48
441,52,3123,749,1695,684,2.2208,14.48
442,52,957,188,403,172,3.2344,24.55
443,52,589,132,288,131,3.5156,20
444,49,2026,548,963,521,1.9805,17.37
445,50,1829,536,1129,516,2.6684,18.56
446,52,895,198,386,204,3.875,18.26
447,52,1909,416,811,406,3.006,22.79
448,46,3022,696,1293,675,2.543,22.07
449,46,1777,446,805,431,2.8676,21.2
450,52,2803,930,1372,876,2.1907,27.14
451,30,1465,439,862,425,1.7778,26.88
452,37,2619,682,1152,616,2.52,27.78
453,52,1149,255,483,249,4.2788,33.25
454,52,2363,604,1558,573,2.944,33.89
455,52,2604,837,1798,769,1.725,28.75
456,41,685,141,266,123,5.2289,38.46
457,42,1756,465,2184,422,2.5562,37.14
458,52,1204,460,2016,477,0.949,35
459,52,609,236,1349,250,1.1696,50.0001
460,52,1087,371,3337,350,1.4012,17.5
461,52,2773,998,1721,949,1.1859,24.17
462,35,3218,1108,1675,1000,1.7464,21.67
463,49,1350,368,707,350,2.8846,21.13
464,52,3084,698,1424,694,2.7372,21.02
465,52,938,195,393,189,3.8594,19.64
466,52,1813,353,828,339,3.5625,19.17
467,52,1233,300,571,292,2.2788,18.23
468,44,2539,755,1382,713,2.537,17.5
469,46,1267,324,792,321,2.525,16.59
470,52,1665,404,815,372,1.9946,15.69
471,52,1659,367,788,346,2.8214,16.43
472,52,2225,460,1145,430,2.6165,15
473,50,2485,607,1354,563,1.9483,15.05
474,52,2031,450,958,445,1.9327,16.99
475,49,2932,668,1361,608,1.9798,14.74
476,52,2246,472,1005,449,2.4167,15.27
477,49,2052,435,924,414,2.5417,18.27
478,52,1999,417,780,358,3.3906,17.93
479,52,3007,691,1582,636,2.5652,15.77
480,41,2214,550,1213,568,2.2845,15.31
481,52,1088,305,486,267,2.6071,25
482,52,834,186,494,175,3.15,20.63
483,52,1769,372,849,365,2.6914,21.88
484,52,2307,583,1127,548,1.8447,19.82
485,35,5161,1744,3276,1742,1.6307,25.36
486,52,3497,832,1493,794,2.9044,25.74
487,52,3774,744,1461,679,2.9405,28.95
488,52,2888,604,1253,538,3.3893,24.17
489,48,2153,517,1656,459,3.0417,48.96
490,52,1389,191,514,202,7.0897,44.62
491,52,1709,318,719,295,5.0463,45.63
492,52,1587,444,878,449,1.7652,33.68
493,52,1668,225,517,214,7.8521,50.0001
494,52,3726,474,1366,496,9.3959,50.0001
495,52,4048,663,1316,590,5.3794,37.69
496,52,3618,768,1508,755,3.2619,30.96
497,52,4076,920,1800,815,2.7054,18.23
498,47,2077,400,719,326,2.2431,17.27
499,50,1279,300,675,255,1.9028,15.08
500,52,1974,426,875,363,1.5817,15.36
501,52,335,83,152,77,2.2841,10.63
502,47,1375,307,843,319,1.3785,14.23
503,52,610,145,281,132,2.9018,11.94
504,44,1025,198,506,204,1.73,14.79
505,48,2063,484,1054,466,2.2625,13.29
506,35,1872,419,1017,414,2.2106,13.25
507,52,3108,813,1623,765,2.6997,12.69
508,14,7355,2408,3100,2051,4.0018,14.38
509,52,2990,379,947,361,7.8772,50.0001
510,39,2492,310,808,315,11.8603,50.0001
511,42,2991,335,1018,335,13.499,50.0001
512,52,3242,366,1001,352,12.2138,50.0001
513,52,3051,381,1005,369,8.1872,46.61
514,52,3494,396,1192,383,12.3804,50.0001
515,52,1757,246,585,227,5.8948,45.78
516,52,2449,312,916,316,8.1194,47.16
517,52,1611,203,556,179,8.7477,50.0001
518,52,3665,517,1470,520,6.155,39.86
519,52,2474,403,1104,398,5.883,34.07
520,52,3037,516,1242,518,5.2128,28.99
521,52,2269,323,805,321,4.7188,33.53
522,52,1316,177,378,162,5.2915,33.3
523,52,1153,235,481,223,2.6411,24.1
524,52,772,179,409,160,3.3214,18.96
525,52,1711,386,885,373,3.6417,20.63
526,52,2650,566,1468,567,3.0161,21.57
527,52,1038,220,482,215,3.1771,21.02
528,52,1527,320,825,264,3.4531,20.88
529,52,859,157,429,158,4.3098,19.79
530,52,970,217,528,208,3.3438,20.13
531,52,1045,239,496,216,2.9213,19.08
532,52,1408,280,718,265,2.6806,20.79
533,52,1222,264,630,265,3.7708,21.53
534,45,1169,263,723,286,3.9444,21.29
535,13,2020,535,959,486,5.2601,29.27
536,30,4145,869,3668,855,2.5444,27.5
537,42,2038,368,2037,355,2.6447,20
538,29,5154,1394,3741,1273,2.5762,17.34
539,42,1241,309,821,300,1.9427,10.22
540,52,1468,363,870,347,2.9688,22.08
541,27,3997,1073,1901,966,3.75,24.28
542,18,2873,763,1243,663,5.1702,26.54
543,50,1487,306,730,327,2.5139,21.9
544,52,1670,350,793,299,2.9732,28.21
545,52,2252,388,1033,434,5.5337,37.2
546,52,1731,377,872,363,4.1667,22.58
547,52,1710,481,849,457,2.7115,22.08
548,52,2388,559,1121,518,3.3269,23.45
549,52,2156,458,872,445,3.2685,25.42
550,52,1565,315,637,297,4.7778,35.18
551,52,1704,371,663,340,4.226,27.5
552,52,1210,168,411,172,3.3571,40.54
553,52,2097,444,915,413,2.9899,22.81
554,52,1848,479,921,477,2.875,23.4
555,43,955,284,585,266,2.3882,16.25
556,43,4329,1110,2086,1053,2.975,24.34
557,52,3011,542,1303,535,5.1039,27.38
558,52,1049,185,374,176,4.1458,24.85
559,52,2504,516,979,472,3.4762,24.4
560,52,1846,471,827,446,2.6833,24.09
561,52,1705,246,658,253,5.75,30.63
562,50,1542,289,654,268,3.9632,24
563,45,891,155,384,146,4.9489,24.71
564,27,4051,753,1499,797,4.8711,28.66
565,52,2646,581,1128,522,3.0718,26.67
566,49,2428,525,1110,492,3.6719,22.98
567,52,2567,436,1119,415,4.6094,22.93
568,21,7031,1249,2930,1235,4.5213,22.84
569,25,1914,365,897,390,4.4562,20.62
570,5,18634,2885,7427,2718,7.611,35.07
571,31,5785,1379,2973,1312,3.2689,23.1
572,52,2876,648,1340,632,3.567,25.29
573,28,6909,1554,2974,1484,3.6875,35.39
574,23,5679,1270,2690,1151,4.7695,29.17
575,20,1156,365,583,326,3.1972,10
576,12,14316,2045,5781,2007,7.2634,34.16
577,5,3596,467,1738,512,7.0568,41.25
578,36,3541,570,1478,529,4.635,24.86
579,40,1808,302,746,270,5.3015,25.49
580,36,2879,480,1235,455,4.9801,24.15
581,26,3204,477,1411,484,5.4834,29.52
582,31,3866,531,1368,521,6.187,34.04
583,32,2476,368,1048,367,5.6194,27.47
584,35,2211,350,1004,365,5.4639,23.86
585,35,2663,387,1086,367,5.1498,26.64
586,30,2599,366,922,350,5.8382,33.02
587,36,4569,824,1950,819,4.65,20.68
588,25,2973,622,1413,595,4.3819,20.92
589,30,3115,625,1444,568,3.7222,19.58
590,31,1843,282,749,269,5.2855,25.35
591,31,2053,336,867,329,4.3375,24.18
592,27,6740,1073,2723,1035,5.2131,25.25
593,30,1751,269,731,263,6.005,26.39
594,38,1663,295,781,301,5.0519,22.7
595,38,3716,657,1784,652,4.8237,22.09
596,32,2718,447,1156,410,5.2497,25.93
597,39,1420,272,645,277,4.125,23.25
598,37,1893,310,821,315,4.6005,23.16
599,33,3906,790,1912,770,3.5187,20.94
600,32,3400,736,1487,694,3,22.32
601,25,3402,758,1645,710,3.4934,20.99
602,33,4413,1107,2239,1051,2.9861,20.82
603,29,2304,618,1021,552,2.5362,20.38
604,36,2350,499,1105,467,3.3021,19.57
605,31,5914,1309,2999,1295,3.0964,19.05
606,43,1575,324,740,284,2.8512,18.1
607,42,1414,274,629,244,3.3478,18.49
608,37,848,202,314,205,2.3958,19.08
609,15,3051,685,1479,668,3.5295,24.22
610,20,4296,817,1732,800,4.8036,18.83
611,52,2898,557,1338,550,3.851,18.35
612,52,1071,201,440,192,4.0662,20.42
613,51,2619,403,922,393,4.6042,25.19
614,49,1494,316,611,288,2.2,18.75
615,52,2260,416,994,412,4.1164,19.82
616,52,1394,223,545,230,3.95,21.9
617,52,1028,129,317,143,4.9135,27.5
618,45,3758,819,1573,736,2.8355,24.54
619,46,2163,470,925,435,3.25,17.75
620,49,1699,408,768,385,2.8301,17.16
621,52,1555,289,620,292,3.7159,18.33
622,52,1114,206,425,207,2.5625,17.5
623,45,1498,313,1003,305,3.8047,15.67
624,45,726,147,519,135,3.375,15.75
625,38,890,200,481,198,3.244,17.98
626,36,2639,533,1209,519,4.0268,20.55
627,35,2562,554,1398,525,3.3906,17.89
628,36,361,69,158,58,5.5461,26.25
629,42,3008,659,1817,664,3.371,16.5
630,46,1369,284,766,289,3.5313,15.97
